dataset,variable,type,sig_dig,origin,code_id,where,derivation_id
EX,EXDOSU,text,NA,eDT,CL.EXDOSEU,NA,NA
EX,EXDOSFRM,text,NA,eDT,CL.EXDOSFRM,NA,NA
EX,EXDOSFRQ,text,NA,eDT,CL.EXFREQ,NA,NA
EX,EXROUTE,text,NA,eDT,CL.EXROUTE,NA,NA
EX,VISITNUM,float,1,CRF,CL.VISITNUM,NA,NA
EX,VISIT,text,NA,CRF,CL.VISIT,NA,NA
EX,VISITDY,integer,NA,Derived,NA,NA,MT.EX.VISITDY
EX,EPOCH,text,NA,Derived,CL.EPOCH,NA,MT.EX.EPOCH
EX,EXSTDTC,date,NA,CRF,NA,NA,NA
EX,EXENDTC,date,NA,CRF,NA,NA,NA
EX,EXSTDY,integer,NA,Derived,NA,NA,MT.COMPMETHOD.STUDY_DAY
EX,EXENDY,integer,NA,Derived,NA,NA,MT.COMPMETHOD.STUDY_DAY
AE,STUDYID,text,NA,CRF,NA,NA,NA
AE,DOMAIN,text,NA,Assigned,NA,NA,NA
AE,USUBJID,text,NA,Derived,NA,NA,MT.AE.USUBJID
AE,AESEQ,integer,NA,Derived,NA,NA,MT.AE.AESEQ
AE,AESPID,text,NA,CRF,NA,NA,NA
AE,AETERM,text,NA,CRF,NA,NA,NA
AE,AELLT,text,NA,Assigned,CL.AEDICT,NA,NA
AE,AELLTCD,integer,NA,Assigned,NA,NA,NA
AE,AEDECOD,text,NA,Assigned,CL.AEDICT,NA,NA
AE,AEPTCD,integer,NA,Assigned,NA,NA,NA
AE,AEHLT,text,NA,Assigned,CL.AEDICT,NA,NA
AE,AEHLTCD,integer,NA,Assigned,NA,NA,NA
AE,AEHLGT,text,NA,Assigned,CL.AEDICT,NA,NA
AE,AEHLGTCD,integer,NA,Assigned,NA,NA,NA
AE,AEBODSYS,text,NA,Assigned,CL.AEDICT,NA,NA
AE,AEBDSYCD,integer,NA,Assigned,NA,NA,NA
AE,AESOC,text,NA,Assigned,CL.AEDICT,NA,NA
AE,AESOCCD,integer,NA,Assigned,NA,NA,NA
AE,AESEV,text,NA,CRF,CL.SEV,NA,NA
AE,AESER,text,NA,CRF,CL.YN,NA,NA
AE,AEACN,text,NA,Derived,NA,NA,MT.AE.AEACN
AE,AEREL,text,NA,CRF,CL.AECAUS,NA,NA
AE,AEOUT,text,NA,CRF,CL.OUT,NA,NA
AE,AESCAN,text,NA,CRF,CL.YN,NA,NA
AE,AESCONG,text,NA,CRF,CL.YN,NA,NA
AE,AESDISAB,text,NA,CRF,CL.YN,NA,NA
AE,AESDTH,text,NA,CRF,CL.YN,NA,NA
AE,AESHOSP,text,NA,CRF,CL.YN,NA,NA
AE,AESLIFE,text,NA,CRF,CL.YN,NA,NA
AE,AESOD,text,NA,CRF,CL.YN,NA,NA
AE,EPOCH,text,NA,Derived,CL.EPOCH,NA,MT.AE.EPOCH
AE,AEDTC,date,NA,Derived,NA,NA,MT.AE.AEDTC
AE,AESTDTC,date,NA,CRF,NA,NA,NA
AE,AEENDTC,date,NA,CRF,NA,NA,NA
AE,AEDY,integer,NA,Derived,NA,NA,MT.COMPMETHOD.STUDY_DAY
AE,AESTDY,integer,NA,Derived,NA,NA,MT.COMPMETHOD.STUDY_DAY
AE,AEENDY,integer,NA,Derived,NA,NA,MT.COMPMETHOD.STUDY_DAY
SUPPAE,STUDYID,text,NA,CRF,NA,NA,NA
SUPPAE,RDOMAIN,text,NA,Assigned,NA,NA,NA
SUPPAE,USUBJID,text,NA,Derived,NA,NA,MT.SUPPAE.USUBJID
SUPPAE,IDVAR,text,NA,Assigned,NA,NA,NA
SUPPAE,IDVARVAL,text,NA,Derived,NA,NA,MT.SUPPAE.IDVARVAL
SUPPAE,QNAM,text,NA,Assigned,CL.SUPPAE.QNAM,NA,NA
SUPPAE,QLABEL,text,NA,Assigned,NA,NA,NA
SUPPAE,QORIG,text,NA,Assigned,NA,NA,NA
SUPPAE,QEVAL,text,NA,Assigned,CL.QEVAL,NA,NA
SUPPDM,STUDYID,text,NA,CRF,NA,NA,NA
SUPPDM,RDOMAIN,text,NA,Assigned,NA,NA,NA
SUPPDM,USUBJID,text,NA,Derived,NA,NA,MT.SUPPDM.USUBJID
SUPPDM,IDVAR,text,NA,Assigned,NA,NA,NA
SUPPDM,IDVARVAL,text,NA,Assigned,NA,NA,NA
SUPPDM,QNAM,text,NA,Assigned,CL.SUPPDM.QNAM,NA,NA
SUPPDM,QLABEL,text,NA,Assigned,NA,NA,NA
SUPPDM,QORIG,text,NA,Assigned,NA,NA,NA
SUPPDM,QEVAL,text,NA,Assigned,CL.QEVAL,NA,NA
SUPPAE,QVAL,text,NA,Derived,CL.YN,QNAM = 'TRTEMFL',MT.SUPPAE.QNAM.TRTEMFL
SUPPDM,QVAL,text,NA,Derived,CL.Y_BLANK,QNAM = 'COMPLT16',MT.SUPPDM.QNAM.COMPLT16
SUPPDM,QVAL,text,NA,Derived,CL.Y_BLANK,QNAM = 'COMPLT24',MT.SUPPDM.QNAM.COMPLT24
SUPPDM,QVAL,text,NA,Derived,CL.Y_BLANK,QNAM = 'COMPLT8',MT.SUPPDM.QNAM.COMPLT8
SUPPDM,QVAL,text,NA,Derived,CL.Y_BLANK,QNAM = 'EFFICACY',MT.SUPPDM.QNAM.EFFICACY
SUPPDM,QVAL,text,NA,Derived,CL.Y_BLANK,QNAM = 'SAFETY',MT.SUPPDM.QNAM.SAFETY
SUPPDM,QVAL,text,NA,Derived,CL.Y_BLANK,QNAM = 'ITT',MT.SUPPDM.QNAM.ITT
AE,AETRTEM,NA,NA,DERIVED,NA,NA,NA
DM,COMPLT16,NA,NA,DERIVED,NA,NA,NA
DM,COMPLT24,NA,NA,DERIVED,NA,NA,NA
DM,COMPLT8,NA,NA,DERIVED,NA,NA,NA
DM,EFFICACY,NA,NA,DERIVED,NA,NA,NA
DM,ITT,NA,NA,DERIVED,NA,NA,NA
DM,SAFETY,NA,NA,DERIVED,NA,NA,NA
DS,ENTCRIT,NA,NA,CRF,NA,NA,NA
LB,LBTMSHI,NA,NA,DERIVED,NA,NA,NA
LB,ENDPOINT,NA,NA,DERIVED,NA,NA,NA
