code_id,name,type,code,decode
CL.SUPPDM.QNAM,SUPPDM.QNAM,code_decode,EFFICACY,Efficacy Population Flag
CL.SUPPDM.QNAM,SUPPDM.QNAM,code_decode,ITT,Intent to Treat Population Flag
CL.SUPPDM.QNAM,SUPPDM.QNAM,code_decode,SAFETY,Safety Population Flag
CL.VISIT,VISIT,code_decode,SCREENING 1,SCREENING 1
CL.VISIT,VISIT,code_decode,UNSCHEDULED 1.1,UNSCHEDULED 1.1
CL.VISIT,VISIT,code_decode,UNSCHEDULED 1.2,UNSCHEDULED 1.2
CL.VISIT,VISIT,code_decode,UNSCHEDULED 1.3,UNSCHEDULED 1.3
CL.VISIT,VISIT,code_decode,SCREENING 2,SCREENING 2
CL.VISIT,VISIT,code_decode,BASELINE,BASELINE
CL.VISIT,VISIT,code_decode,UNSCHEDULED 3.1,UNSCHEDULED 3.1
CL.VISIT,VISIT,code_decode,AMBUL ECG PLACEMENT,AMBUL ECG PLACEMENT
CL.VISIT,VISIT,code_decode,WEEK 2,WEEK 2
CL.VISIT,VISIT,code_decode,UNSCHEDULED 4.1,UNSCHEDULED 4.1
CL.VISIT,VISIT,code_decode,UNSCHEDULED 4.2,UNSCHEDULED 4.2
CL.VISIT,VISIT,code_decode,WEEK 4,WEEK 4
CL.VISIT,VISIT,code_decode,UNSCHEDULED 5.1,UNSCHEDULED 5.1
CL.VISIT,VISIT,code_decode,AMBUL ECG REMOVAL,AMBUL ECG REMOVAL
CL.VISIT,VISIT,code_decode,UNSCHEDULED 6.1,UNSCHEDULED 6.1
CL.VISIT,VISIT,code_decode,WEEK 6,WEEK 6
CL.VISIT,VISIT,code_decode,UNSCHEDULED 7.1,UNSCHEDULED 7.1
CL.VISIT,VISIT,code_decode,WEEK 8,WEEK 8
CL.VISIT,VISIT,code_decode,WEEK 10 (T),WEEK 10 (T)
CL.VISIT,VISIT,code_decode,UNSCHEDULED 8.2,UNSCHEDULED 8.2
CL.VISIT,VISIT,code_decode,WEEK 12,WEEK 12
CL.VISIT,VISIT,code_decode,WEEK 14 (T),WEEK 14 (T)
CL.VISIT,VISIT,code_decode,UNSCHEDULED 9.2,UNSCHEDULED 9.2
CL.VISIT,VISIT,code_decode,UNSCHEDULED 9.3,UNSCHEDULED 9.3
CL.VISIT,VISIT,code_decode,WEEK 16,WEEK 16
CL.VISIT,VISIT,code_decode,WEEK 18 (T),WEEK 18 (T)
CL.VISIT,VISIT,code_decode,UNSCHEDULED 10.2,UNSCHEDULED 10.2
CL.VISIT,VISIT,code_decode,WEEK 20,WEEK 20
CL.VISIT,VISIT,code_decode,WEEK 22 (T),WEEK 22 (T)
CL.VISIT,VISIT,code_decode,UNSCHEDULED 11.2,UNSCHEDULED 11.2
CL.VISIT,VISIT,code_decode,WEEK 24,WEEK 24
CL.VISIT,VISIT,code_decode,UNSCHEDULED 12.1,UNSCHEDULED 12.1
CL.VISIT,VISIT,code_decode,WEEK 26,WEEK 26
CL.VISIT,VISIT,code_decode,UNSCHEDULED 13.1,UNSCHEDULED 13.1
CL.VISIT,VISIT,code_decode,AE FOLLOW-UP,AE FOLLOW-UP
CL.VISIT,VISIT,code_decode,RETRIEVAL,RETRIEVAL
CL.VISIT,VISIT,code_decode,Rash followup,Rash followup
CL.VISITNUM,VISITNUM,code_decode,1,SCREENING 1
CL.VISITNUM,VISITNUM,code_decode,1.1,UNSCHEDULED 1.1
CL.VISITNUM,VISITNUM,code_decode,1.2,UNSCHEDULED 1.2
CL.VISITNUM,VISITNUM,code_decode,1.3,UNSCHEDULED 1.3
CL.VISITNUM,VISITNUM,code_decode,2,SCREENING 2
CL.VISITNUM,VISITNUM,code_decode,3,BASELINE
CL.VISITNUM,VISITNUM,code_decode,3.1,UNSCHEDULED 3.1
CL.VISITNUM,VISITNUM,code_decode,3.5,AMBUL ECG PLACEMENT
CL.VISITNUM,VISITNUM,code_decode,4,WEEK 2
CL.VISITNUM,VISITNUM,code_decode,4.1,UNSCHEDULED 4.1
CL.VISITNUM,VISITNUM,code_decode,4.2,UNSCHEDULED 4.2
CL.VISITNUM,VISITNUM,code_decode,5,WEEK 4
CL.VISITNUM,VISITNUM,code_decode,5.1,UNSCHEDULED 5.1
CL.VISITNUM,VISITNUM,code_decode,6,AMBUL ECG REMOVAL
CL.VISITNUM,VISITNUM,code_decode,6.1,UNSCHEDULED 6.1
CL.VISITNUM,VISITNUM,code_decode,7,WEEK 6
CL.VISITNUM,VISITNUM,code_decode,7.1,UNSCHEDULED 7.1
CL.VISITNUM,VISITNUM,code_decode,8,WEEK 8
CL.VISITNUM,VISITNUM,code_decode,8.1,WEEK 10 (T)
CL.VISITNUM,VISITNUM,code_decode,8.2,UNSCHEDULED 8.2
CL.VISITNUM,VISITNUM,code_decode,9,WEEK 12
CL.VISITNUM,VISITNUM,code_decode,9.1,WEEK 14 (T)
CL.VISITNUM,VISITNUM,code_decode,9.2,UNSCHEDULED 9.2
CL.VISITNUM,VISITNUM,code_decode,9.3,UNSCHEDULED 9.3
CL.VISITNUM,VISITNUM,code_decode,10,WEEK 16
CL.VISITNUM,VISITNUM,code_decode,10.1,WEEK 18 (T)
CL.VISITNUM,VISITNUM,code_decode,10.2,UNSCHEDULED 10.2
CL.VISITNUM,VISITNUM,code_decode,11,WEEK 20
CL.VISITNUM,VISITNUM,code_decode,11.1,WEEK 22 (T)
CL.VISITNUM,VISITNUM,code_decode,11.2,UNSCHEDULED 11.2
CL.VISITNUM,VISITNUM,code_decode,12,WEEK 24
CL.VISITNUM,VISITNUM,code_decode,12.1,UNSCHEDULED 12.1
CL.VISITNUM,VISITNUM,code_decode,13,WEEK 26
CL.VISITNUM,VISITNUM,code_decode,13.1,UNSCHEDULED 13.1
CL.VISITNUM,VISITNUM,code_decode,101,AE FOLLOW-UP
CL.VISITNUM,VISITNUM,code_decode,201,RETRIEVAL
CL.VISITNUM,VISITNUM,code_decode,501,Rash followup
CL.YN,YN,code_decode,N,No
CL.YN,YN,code_decode,Y,Yes
CL.Y_BLANK,Y_BLANK,code_decode,Y,Yes
CL.AEDICT,ADVERSE EVENT DICTIONARY,external_library,MEDDRA,8.0
CL.DRUGDICT,DRUG DICTIONARY,external_library,WHODRUG,200604
CL.MHDICT,MEDICAL HISTORY DICTIONARY,external_library,MEDDRA,8.0
